Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","254TR","BAT_254TR",48.645000,-128.765000,180.000000,bottom
"BT2","254TR","BAT_254TR",103.655000,-128.765000,0.000000,bottom
"C4","10uF","C_0805_2012Metric",82.200000,-100.665000,0.000000,bottom
"C11","0.1uF","C_0805_2012Metric",73.200000,-100.825000,0.000000,bottom
"C12","10uF","C_0805_2012Metric",67.100000,-104.000000,-90.000000,bottom
"IC1","DW01A","DW01A SOT23-6",73.400000,-103.965000,90.000000,bottom
"POT2","91AR1KLF","THUMBWHEEL POT 1K",114.540000,-87.600000,180.000000,bottom
"Q1","FS8205A","SOP65P640X120-8N",71.150000,-107.765000,0.000000,bottom
"R2","1,2K","R_0805_2012Metric",78.214846,-100.665000,180.000000,bottom
"R6","1K","R_0805_2012Metric",69.600000,-104.000000,-90.000000,bottom
"R7","100","R_0805_2012Metric",68.300000,-100.825000,180.000000,bottom
"U2","TP4056","TP4056",80.165000,-106.500000,-90.000000,bottom
